"month","year","country","Records","Downloads","Users","cumulative_downloads_by_year","cumulative_records_downloaded_by_year","cumulative_unique_users_by_year"
11,2020,"AL",42480,2,1,10,113246,3
11,2020,"AO",28106,7,1,14,199627,3
11,2020,"AR",1607156,1047,33,3452,4481168187,347
11,2020,"AT",7800,15,5,261,368280380,71
11,2020,"AU",104601638,133,31,3069,8995660409,441
11,2020,"BD",34258,1,1,79,706730640,21
11,2020,"BE",88943474,159,33,3089,12292185121,220
11,2020,"BF",11627,1,1,48,65911,15
11,2020,"BI",2006824,1,1,5,2007667,3
11,2020,"BJ",80665,17,8,989,3168943523,148
11,2020,"BO",41494,2,1,240,58186362,56
11,2020,"BR",220557367,659,126,14702,19385550843,1474
11,2020,"BY",398,2,1,9,207828,6
11,2020,"CA",592033280,203,56,4871,11308259768,583
11,2020,"CD",1,1,1,14,1022050,4
11,2020,"CH",200427484,147,29,602,2498161675,124
11,2020,"CK",304,1,1,5,83521,1
11,2020,"CL",32530529,318,52,3532,10439016080,456
11,2020,"CM",1,1,1,21,2006168,9
11,2020,"CN",6927235998,1841,158,22567,66377209866,1505
11,2020,"CO",3725012054,1048,197,11625,19545856834,1751
11,2020,"CR",3096977,66,13,771,5912999074,145
11,2020,"CU",547,6,2,132,29640295,29
11,2020,"CZ",62139,67,3,574,108366476,69
11,2020,"DE",334093314,210,36,5640,10909080385,480
11,2020,"DK",25065063,52,13,1161,1276610921,123
11,2020,"DO",5002,10,1,107,12353504,20
11,2020,"DZ",8629,5,2,63,2081376,29
11,2020,"EC",28694589,43,15,4054,7759322271,530
11,2020,"EE",99685,2,2,116,4012368602,25
11,2020,"EG",1740447,41,3,145,4951692,27
11,2020,"ES",255707210,328,122,7205,16182146435,1297
11,2020,"ET",504761,8,2,164,4395789783,24
11,2020,"FI",8404258,7,4,168,302983575,39
11,2020,"FR",2030815130,201,59,9397,7394822616,553
11,2020,"GA",27998,6,1,40,21166534,5
11,2020,"GB",1490296519,375,113,8282,22083570509,1244
11,2020,"GG",28311,1,1,9,231977,2
11,2020,"GH",150,1,1,160,27401223,24
11,2020,"GR",24072725,29,10,283,117827517,55
11,2020,"GT",135507575,54,14,1173,264708668,120
11,2020,"HK",15807973,6,1,1266,2219614510,50
11,2020,"HN",2092307,7,4,123,33735735,31
11,2020,"HR",736830,3,1,43,2366831,12
11,2020,"ID",3295472,119,26,1325,119610484,194
11,2020,"IE",5897,5,3,196,127299940,43
11,2020,"IL",32404,3,3,124,211538924,43
11,2020,"IN",27966577,156,35,3663,4103678267,519
11,2020,"IO",4591,1,1,14,36484,6
11,2020,"IQ",998,1,1,14,12116207,5
11,2020,"IR",1284,5,1,370,1351702688,62
11,2020,"IT",76564915,154,58,2349,8226166075,291
11,2020,"JP",211517862,219,69,1340,4630754072,301
11,2020,"KE",14494,6,5,167,79900361,54
11,2020,"KH",29447,3,2,19,202937,5
11,2020,"KR",1831089,34,9,985,1524129350,94
11,2020,"KZ",3105,4,2,18,232493,9
11,2020,"LB",568,7,1,57,9675408,5
11,2020,"LK",34756,6,3,37,21089565,19
11,2020,"LU",4546622,27,3,79,5444194,13
11,2020,"LV",280,1,1,13,43217973,5
11,2020,"MA",1326,3,1,53,46768272,19
11,2020,"ME",16970,1,1,9,55296,3
11,2020,"MG",849588,6,4,85,979515600,19
11,2020,"MM",830784,3,1,58,106425213,5
11,2020,"MN",586,3,3,16,75810,8
11,2020,"MO",3850,1,1,3,794990,3
11,2020,"MX",1737771024,1287,376,20810,40080604761,2834
11,2020,"MY",11128648,33,10,282,38271448,75
11,2020,"MZ",26234,8,4,207,712637837,16
11,2020,"NC",923,7,2,11,3003,3
11,2020,"NG",8920384,14,4,167,21396202,33
11,2020,"NL",784133658,300,142,1673,8143547888,404
11,2020,"NO",240189316,473,24,1541,691281528,134
11,2020,"NZ",464945,41,14,1028,314963818,196
11,2020,"PA",6476,2,1,117,51291213,21
11,2020,"PE",1549091928,163,67,2766,10476673426,610
11,2020,"PH",2063200,19,6,561,5866995544,112
11,2020,"PK",29100,2,2,49,475173490,20
11,2020,"PL",1354194710,209,10,1407,1416549830,95
11,2020,"PR",1793834,5,2,113,21864926,23
11,2020,"PT",17892356,115,22,1889,4948688371,298
11,2020,"RE",9922,1,1,7,46372,3
11,2020,"RO",1010261,10,2,96,37023083,26
11,2020,"RU",42356719,268,52,6338,1622550116,277
